Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temper( C),density(g/cm3)
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,20,8.14
0.2,0,21,0,8,0.2,8,3.5,0,1.35,0.1,0,57.65,25,8.31
0,0,20.5,0.25,45,0.75,0,0,0,1,0.5,0,32,20,7.94
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,20,8.14
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,22,9.22
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,20,8.64
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,20,8.69
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,20,8.89
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,22,8.31
0,2.5,30,1.75,15,0.75,5,0.5,0.5,0,0.4,2.25,41.35,25,8.22
0.4,1.25,20,0.5,17.5,0.5,9,0.5,0,0,0,0.5,49.85,25,8.33
0.3,1,15.5,0,1.5,0.6,15,0,0,0,0.5,0,65.6,22,8.747
0.8,0.5,16,0,8,0.2,0,0.5,0.5,2.5,0.2,0,70.8,25,8.26
0,53.9,26,0,3,0.8,5,0,0,0,0.3,2,9,25,8.47
1.5,11,19,0,2.5,0.05,10,0,0,3.1,0.25,0,52.6,25,8.25
0.25,1.5,1.5,0.1,1.5,1.5,28.5,0.1,0.1,0.1,0,1.5,63.35,25,9.22
0,20,21,0,30,1.5,3,0.5,0.5,0,0.5,2.5,20.5,25,8.2
0.25,0.5,15,0,1,0.25,22,0,0,0,0.04,0,60.96,25,8.83
0.2,29,28,0,1,0.5,0.5,0.5,0,0.5,2.75,0.5,36.55,25,8.08
0.2,0.5,33.2,0.15,1,0.25,8.1,0,0,0,0.3,0.3,56,25,8.22
0.25,1,23,1.6,1.5,0.25,16,0,0,0,0,0,56.4,25,8.5
0.25,0,21,0,1,0.4,17,0,0,0,0,0.5,59.85,25,8.47
0.5,0.5,18,0,19,0.2,3,2.5,2.5,0.9,0.2,0,52.7,25,8.23
0.2,0.5,21,0,2.5,0.25,9,1.85,1.85,0.2,0.1,0,62.55,25,8.44
1.2,12.5,22,0,1,0.1,9,0,0,0.3,0.1,0,53.8,25,8.36
0.2,18,22,0,32,1,3,0.5,0.6,0,0.4,2.5,19.8,25,8.23
1.5,10,20,0,0.75,0.15,8.5,0,0,2.1,0.1,0,56.9,25,8.27
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,25,8.36
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,25,9.05
3.3,19,19,0,1.5,0.4,7.5,0,0.5,0.5,0.1,0.3,47.9,25,8.18
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,25,8.97
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,25,8.05
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,25,8.98
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,25,8.37
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,25,9.07
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,25,8.177
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,127,8.148
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,327,8.08
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,527,8.012
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,727,7.934
3.53,8.26,15.85,0,0,0,1.73,2.5,1.73,3.49,0,2.57,60.34,927,7.84
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,25,8.13
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,127,8.1
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,327,8.037
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,527,7.966
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,727,7.891
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,927,7.798
