Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temper( C),cp
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,400,431
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,600,456
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,25,406
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,100,426
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,200,448
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,300,465
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,400,477
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,500,490
0,1,16,0,1,0.5,16,0,0,0.35,0,0,65.15,600,502
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,52,414
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,100,423
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,200,444
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,300,460
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,400,476
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,500,485
0,1.25,22,0,3,0.25,13,0,0,0,0,3,57.5,600,514
0,1.25,15.5,0,5.5,0.5,16,0,0,0,0,3.75,57.5,25,427
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,100,455
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,200,480
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,300,502
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,400,520
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,500,535
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,600,553
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,700,570
0,1.25,22,2,19.5,1.5,6.5,1,1,0,0.5,0.5,44.25,800,586
