Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temp,K
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,200,14.7
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,300,16.3
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,400,18
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,500,19.7
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,600,21.4
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,700,23
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,800,24.7
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,900,26.8
0.3,20,20,0,0.5,0.4,6,0,0,2.3,0.2,0,50.3,1000,28.5
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,25,11.3
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,100,12.6
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,200,14.2
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,300,15.9
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,400,17.5
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,500,19.2
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,600,20.9
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,700,22.5
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,800,24.2
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,900,25.8
0.25,0.5,8,0,1,0.4,25,0,0,0,0.4,0,64.45,1000,27.5
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,25,8.9
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,100,10.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,200,12.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,300,14.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,400,16.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,500,18.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,600,20.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,700,22.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,800,24.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,900,26.4
0.3,2.5,22,0,1.5,0.5,2,0.25,0,0.1,0.4,14,56.45,1000,28.4
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,25,12
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,100,12.8
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,200,14.2
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,300,15.9
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,400,18.4
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,500,21.1
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,600,23.9
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,700,26.9
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,800,29.7
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,900,31.4
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,1000,32.7
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,1100,34
4.5,1,16,0,3,0.25,0.25,0.1,0,0.25,0.1,0.5,74.05,1200,36.7
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,25,10.4
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,100,12.2
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,200,14.3
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,300,15.9
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,400,17.5
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,500,19.3
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,600,21.1
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,700,23
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,800,24.8
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,900,25.5
0,39,22,0,3,0.75,0,0,0,0,0.35,14,20.9,1000,27.6
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,400,18.6
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,600,22.7
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,700,24.7
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,800,26.5
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,900,28.4
0.4,0.5,20,0,2.5,0.5,0,0,0,0.4,0.5,0,75.2,1000,30.1
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,25,10.5
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,100,12
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,200,14
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,300,15.9
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,400,17.7
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,500,19.5
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,600,21.2
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,700,22.9
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,800,24.5
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,900,26
0,51.3,20,0,1.5,1.5,0.5,0,0,0,0.2,15,10,1000,27.5
3.53,8.26,15.85,0,0,0,1.73,2.5,0,3.49,0,2.57,62.07,25,9.8
3.53,8.26,15.85,0,0,0,1.73,2.5,0,3.49,0,2.57,62.07,127,11.4
3.53,8.26,15.85,0,0,0,1.73,2.5,0,3.49,0,2.57,62.07,327,14.6
3.53,8.26,15.85,0,0,0,1.73,2.5,0,3.49,0,2.57,62.07,527,18
3.53,8.26,15.85,0,0,0,1.73,2.5,0,3.49,0,2.57,62.07,727,23.4
3.53,8.26,15.85,0,0,0,1.73,2.5,0,3.49,0,2.57,62.07,927,24.9
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,25,10.3
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,127,11.8
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,327,14.8
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,527,18.1
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,727,23.4
2.95,9.6,13.9,0,0,0,4.05,0,0,4.95,0,3.9,60.65,927,26.2
