Al,Co ,Cr,Cu,Fe,Mn,Mo,Nb,Ta,Ti,Si,W,Ni,Temp,K
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1200,32.4
0,1.5,22,0,18.5,0.5,9,0,0,0,0.5,0.6,47.4,1260,33.7
0,0,20,0,0,0,0,0,0,0.4,0,0,79.6,25,11.7
1.5,0,20,0,0,0,0,0,0,2,0,0,76.5,25,11.2
1,0,30,0,0,0,0,0,0,1.8,0,0,67.2,25,10.9
1.4,17,20,0,0,0,0,0,0,2.4,0,0,59.2,25,11.5
5,20,15,0,0,0,5,0,0,1.2,0,0,53.8,25,10.9
5,13,14,0,0,0,3,0,0,4,0,0,61,25,10.6
0.5,20,20,0,0,0,6,0,0,2,0,0,51.5,25,11.7
1,0,16,0,32,0,3,0,0,1,0,0,47,25,11.7
2.1,14,18,0,0,0,7,0,0,2.25,0,0,56.65,25,11.3
1.5,11,19,0,0,0,11,0,0,3.1,0,0,54.4,25,9
3.5,8,14,0,0,0,3.5,3.5,0,2.5,0,0,65,25,8.7
2.9,18.5,18,0,0,0,4,0,0,2.9,0,0,53.7,25,11.1
4,17,15,0,0,0,5,0,0,3.5,0,0,55.5,25,19.6
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,25,10.7
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,200,12.6
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,400,15.7
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,600,19.1
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,700,20.9
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,800,22.7
1.3,13.5,19.5,0,0,0,4.3,0,0,3,0,0,58.4,900,24.5
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,26,13.9
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,93,15
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,204,17
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,316,18.8
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,427,20.5
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,538,22.8
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,649,24.2
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,760,26
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,871,27.8
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,982,29.5
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,1083,31.2
0,0,29,0.25,9,0.25,0,0,0,0,0.25,0,61.25,1204,32.8
0,0,20.5,0.25,45,0.75,0,0,0,1,0.5,0,32,21,12.4
0,0,20.5,0.25,45,0.75,0,0,0,1,0.5,0,32,538,20.7
0,0,20.5,0.25,45,0.75,0,0,0,1,0.5,0,32,871,25.6
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,26,11.1
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,93,12.3
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,204,14.1
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,316,15.8
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,427,17.3
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,538,18.9
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,649,20.5
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,760,22.3
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,871,24.8
0.1,0,20,2,32,0.5,3,0,0,1,0,0,41.4,982,27.7
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,25,11.1
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,100,12.2
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,200,13.4
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,300,14.6
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,400,16
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,500,17.3
0,0.5,0.5,0,1,0.5,28,0,0,0,0,0,69.5,600,18.7
